bathrooms,bedrooms,city,city_region,description,living_areas,price,region,rooms,size,type_of_property,url
4,"(None,)",La Soukra,La Soukra inLa Soukra,"Find out about this house for sale. Price 5,000,000 TND. 7 rooms, 4 bathrooms, area 4992 m². 11 rooms. New. Large swimming pool, General air conditioning.This house is for sale in La Soukra. Cellar, Large terrace. Central heating.Schedule your visit to this exceptional house now. Fitted kitchen.Nearby: hospitals in 2.8 kilometers, retailers in 400 meters, school and secondary school in 1.2 kilometer.","(None,)",5000000.0,La Soukra,"(11,)",4992,house,https://www.mubawab.tn/en/a/7532829/find-your-house-to-buy-in-la-soukra-11-rooms-carpark-balcony-
2,"(None,)",Djerba,Djerba inDjerba,"Amazing deal on this house for sale. Price 530,000 TND. 3 rooms, 2 bathrooms, area 540 m². 6 rooms. New. Secured residence with reinforced door. The property also has a satellite dish.This house is for sale in Djerba. The exterior consists of a garden and a terrace. Living room with European decor.Schedule your visit to this exceptional house now. Property with swimming pool.Close to all amenities: bars and restaurants and beach in 100 meters, school and secondary school in 500 meters, retailers in 1.1 kilometer, supermarket in 1.6 kilometer, bookshop in 1.7 kilometer.","(None,)",530000.0,Djerba,"(6,)",540,apartment,https://www.mubawab.tn/en/a/7508972/house-for-sale-in-djerba-3-rooms-general-satellite-dish-system-on-site-security-
2,"(None,)",Djerba,Djerba inDjerba,"Find out about this house for sale. Price 670,000 TND. 3 rooms, 2 bathrooms, area 514 m². 5 rooms. Less than 1 year. Equipped with a satellite dish and a reinforced door. The residence is secured.This beautiful house is for sale in Djerba. Residence with swimming pool, Integrated air conditioning. Green areas, Balcony.Contact us to visit this house for sale. Living room with European decor.Close to all amenities: schools in 150 meters, shops in 300 meters, bookshop in 700 meters, pharmacy in 850 meters, cafes and restaurants, station and public transport in 900 meters, hospitals in 1.0 kilometer, supermarket in 1.2 kilometer, beach in 1.2 kilometer.","(None,)",670000.0,Djerba,"(5,)",514,apartment,https://www.mubawab.tn/en/a/7667886/very-nice-house-for-sale-in-djerba-3-lovely-rooms-beautiful-terrace-and-garden-
1,5,La Soukra,Chotrana 1 inLa Soukra,"Don't miss out on this house for sale. Price 1,200,000 TND. 5 living areas, 1 bathroom, 360 m². 5 bedrooms. New. Perfectly equipped with reinforced door and central heating.Come and check out this house for sale in Chotrana 1. Terrace. Built-in oven.Be the first to visit this house for sale. Air conditioning.",5,1200000.0,Chotrana 1,"(None,)",360,house,https://www.mubawab.tn/en/a/7701536/very-nice-house-for-sale-in-chotrana-1-5-large-living-areas-
1,3,La Marsa,Ain Zaghouan Nord inLa Marsa,"Don't miss out on this house for sale. 3 bedrooms, 1 bathroom, 172 m². 3 rooms. New.Come and check out this house for sale in Ain Zaghouan Nord. Enjoy the comfort of the air conditioning. The residence also has a swimming pool. Stove.Contact us if you are interested in this house. Central air conditioning.Nearby: shops in less than 50 meters, school and secondary school in 200 meters, station and public transport in 400 meters, bookshop and pharmacy in 500 meters, department store in 800 meters, cafes and restaurants and hospitals in 850 meters, supermarket in 1.2 kilometer, beach in 1.7 kilometer, taxi service in 2.5 kilometers.","(None,)",,Ain Zaghouan Nord,3,172,apartment,https://www.mubawab.tn/en/a/7702290/house-for-sale-in-ain-zaghouan-nord-3-large-living-areas-
3,"(None,)",Le Kram,Les Jardins de Carthage inLe Kram,"Don't miss out on this house for sale. Price 1,100,000 TND. 4 living areas, 3 bathrooms, 150 m². 4 rooms. Good condition. Residence with swimming pool, Integrated air conditioning.This beautiful house is for sale in Les Jardins de Carthage. Balcony. Fully equipped kitchen.Contact us if you are interested in this house. On-site security. Central air conditioning.Nearby: educational establishments, retailers, bookshop and pharmacy in less than 50 meters, cafes and restaurants in 50 meters, commercial area in 150 meters, station and transport in 250 meters, beach in 300 meters, hospitals in 450 meters, supermarket in 500 meters.",4,1100000.0,Les Jardins de Carthage,4,150,house,https://www.mubawab.tn/en/a/7728174/house-for-sale-4-beautiful-rooms-fitted-kitchen-
2,5,,Ariana Ville,"Unique opportunity on this house for sale. Price 1,350,000 TND. 5 bedrooms, 2 bathrooms, 400 m². 7 rooms. Green areas, Parking spaces for cars.This house is for sale . Thermal insulation and soundproofing, Air conditioning installation. Washing Machine and Clothes Dryer.Schedule your visit to this exceptional house now. Air-conditioned. Fitted kitchen.","(None,)",1350000.0,Ariana Ville,7,400,house,https://www.mubawab.tn/en/a/7737932/very-nice-house-for-sale-7-large-living-areas-double-glazed-window-central-air-conditioning-
1,1,Tunis,Sidi Bechir inTunis,"Unique opportunity on this house for sale. Price 980,000 TND. 1 bathroom, area of ​​600 m². 1 Living areas. 1 bedroom. Due for reform.Come and check out this house for sale in Sidi Bechir, Tunis.Close to all amenities: educational establishments, shops and bookshop in less than 50 meters, pharmacy in 100 meters, supermarket, restaurants and hospitals in 150 meters, station and public transport in 700 meters, large area in 1.3 kilometer, beach in 1.6 kilometer, taxi in 3.0 kilometers.",1,980000.0,Sidi Bechir,"(None,)",600,house,https://www.mubawab.tn/en/a/7713617/house-for-sale-in-sidi-bechir-1-room-
1,5,Tunis,Bab Bhar inTunis,"Refinement and comfort with this villa for sale. Price 1,050,000 TND. 5 bedrooms, 1 bathroom, 442 m². 5 rooms. New. Green area, Car parking spaces, Large terrace.This beautiful villa is for sale in Bab Bhar, Tunis.","(None,)",1020000.0,Bab Bhar,5,442,,https://www.mubawab.tn/en/a/7705591/magnificent-villa-for-sale-in-bab-bhar-total-area-442-m%C2%B2-
4,"(None,)",El Menzah,El Menzah 4 inEl Menzah,"Find out about this house for sale. Price 2,400,000 TND. 12 rooms, 4 bathrooms, area 980 m². 14 rooms. Good condition. Integrated air conditioning.Come and check out this house for sale in El Menzah 4, El Menzah. Private Garage.","(None,)",2400000.0,El Menzah 4,"(14,)",980,house,https://www.mubawab.tn/en/a/7574613/house-to-buy-in-el-menzah-4-14-rooms-private-car-park-
2,"(None,)",Ariana Ville,Ariana inAriana Ville,"Unique opportunity on this house for sale. Price 1,100,000 TND. 6 rooms, 2 bathrooms, area 1000 m². 7 rooms. Less than 10 years. Due for reform. Floor type: Tiled. Green areas, Balcony.This beautiful house is for sale in Ariana. Spacious European living room. Fully equipped kitchen.Contact us to visit this house for sale.Close to all amenities: educational establishments, shops, bookshop, pharmacy and restaurants in less than 50 meters, large area in 150 meters, station and transport in 350 meters, supermarket in 450 meters, taxi in 800 meters, hospitals in 1.2 kilometer, beach in 1.9 kilometer.","(None,)",1100000.0,Ariana,"(7,)",1000,house,https://www.mubawab.tn/en/a/7705594/house-for-sale-in-ariana-total-area-1000-m%C2%B2-beautiful-terrace-and-garden-
3,"(None,)",La Marsa,Gammarth inLa Marsa,"Come and visit this beautiful house for sale. Price 5,500,000 TND. 3 rooms, 3 bathrooms, area 400 m². 5 rooms. New. Absolute comfort with central heating. As a bonus, a magnificent sea view.Come and check out this house for sale in Gammarth. Cellar, Large terrace. Equipped kitchen.Contact us to visit this house for sale. Integrated air conditioning.Close to all amenities: shops in 150 meters, bars and restaurants in 200 meters, school and secondary school and pharmacy in 250 meters, supermarket in 400 meters, bookshop in 500 meters, large area in 550 meters, beach in 600 meters, hospitals, station and transport in 650 meters, taxi in 1.5 kilometer.","(None,)",5500000.0,Gammarth,"(5,)",400,house,https://www.mubawab.tn/en/a/7705604/beautiful-house-for-sale-in-ain-zaghouan-sud-large-area-400-m%C2%B2-
3,"(None,)",La Marsa,Gammarth inLa Marsa,"Seize the opportunity with this house for sale. Price 1,220,000 TND. 3 rooms, 3 bathrooms, area 621 m². 4 rooms. Good condition. Air conditioning system.This beautiful house is for sale in Gammarth. Well equipped kitchen. Cellar.Contact us if you are interested in this house. Central air conditioning. On-site security.Nearby: school and secondary school in 600 meters, bars and restaurants in 700 meters, shops in 750 meters, pharmacy in 1.3 kilometer, supermarket in 1.4 kilometer, shopping centre and beach in 1.5 kilometer, bookshop in 1.6 kilometer.","(None,)",1220000.0,Gammarth,"(4,)",621,house,https://www.mubawab.tn/en/a/7678034/find-your-house-to-buy-in-gammarth-3-beautiful-rooms-garage-
"(None,)","(None,)",La Marsa,Gammarth Supérieur inLa Marsa,"Unique opportunity on this house for sale. Price 2,500,000 TND. 5 rooms, area of ​​1180 m². Enjoy the warmth of a real fireplace.This beautiful house is for sale in Gammarth Supérieur, La Marsa. Private car park.","(None,)",2500000.0,Gammarth Supérieur,5,1180,house,https://www.mubawab.tn/en/a/7733396/home-to-buy-in-gammarth-sup%C3%A9rieur-5-rooms-fireplace-
2,"(None,)",Carthage,Sidi Bousaid inCarthage,"Get a great deal with this house for sale. Price 2,000,000 TND. 3 rooms, 2 bathrooms, area 122 m². 5 rooms. Less than 10 years.Come and check out this house for sale in Sidi Bousaid, Carthage.Close to all amenities: educational establishments in less than 50 meters, retailers in 100 meters, station and public transport in 350 meters, bookshop in 650 meters, supermarket and beach in 750 meters, pharmacy and department store in 800 meters, cafes and restaurants in 1.8 kilometer, hospitals in 2.5 kilometers.","(None,)",2000000.0,Sidi Bousaid,"(5,)",122,house,https://www.mubawab.tn/en/a/7736159/house-for-sale-in-sidi-bousaid-5-rooms-
2,"(None,)",La Marsa,Ain Zaghouan Nord inLa Marsa,"Amazing deal on this house for sale. Price 620,000 TND. 5 living areas, 2 bathrooms, 280 m². 3 rooms. Good condition. General satellite dish, Secured neighbourhood.This house is for sale in Ain Zaghouan Nord. You will enjoy a beautiful terrace and a carpark. Thermal insulation and soundproofing, Air conditioning installation.Contact us to visit this house for sale. Air conditioning system. Oven. Fitted kitchen.Close to all amenities: retailers in less than 50 meters, school and secondary school and pharmacy in 50 meters, bookshop and bars and restaurants in 100 meters, hospitals in 300 meters, department store, station and transport in 500 meters, supermarket in 1.0 kilometer, beach in 1.3 kilometer.",5,620000.0,Ain Zaghouan Nord,3,280,house,https://www.mubawab.tn/en/a/7624099/beautiful-house-for-sale-in-ain-zaghouan-nord-3-rooms-double-glazed-window-central-air-conditioning-
"(None,)","(None,)",La Marsa,Gammarth inLa Marsa,"Unique opportunity on this house for sale. 8 rooms, area 1311 m². Property with swimming pool, Integrated air conditioning.Come and check out this house for sale in Gammarth, La Marsa. Parking spaces.Nearby: retailers in 750 meters, school and secondary school in 800 meters, restaurants in 950 meters, shopping centre in 1.5 kilometer, beach in 1.5 kilometer.","(None,)",,Gammarth,8,1311,house,https://www.mubawab.tn/en/a/7392018/beautiful-house-for-sale-in-gammarth-area-of-1311-m%C2%B2-garage-
1,"(None,)",La Soukra,La Soukra inLa Soukra,"Amazing deal on this house for sale. Price 1,500,000 TND. 4 living areas, 1 bathroom, area 320 m². 4 rooms. New. Caretaker service at your disposal, Property with swimming pool, Integrated air conditioning.Come and check out this house for sale in La Soukra. With Lift, Carpark.Schedule your visit to this exceptional house now.",4,1500000.0,La Soukra,4,320,house,https://www.mubawab.tn/en/a/7728056/house-to-buy-in-la-soukra-dimension-320-m%C2%B2-
1,"(None,)",,Kélibia,"Seize the opportunity with this house for sale. Price 130,000 TND. 3 living areas, 1 bathroom, 140 m². 2 rooms. Less than 1 year. Terrace.This house is for sale .Nearby: beach in 1.0 kilometer, shops in 1.7 kilometer, bookshop and pharmacy in 1.8 kilometer, school and secondary school in 2.3 kilometers.",3,130000.0,Kélibia,2,140,house,https://www.mubawab.tn/en/a/7737587/house-for-sale-2-rooms-large-terrace-
