url,price,city_region,description
https://www.mubawab.tn/en/p/2872/r%C3%A9sidence-la-palmeraie-de-taiba-offre-promotionnelle-,"
										From
									182,400 TND

						",,"
				,
				La Soukra, Ariana
			,School,Shop,Hospital,Transport"
https://www.mubawab.tn/en/a/7508972/house-for-sale-in-djerba-3-rooms-general-satellite-dish-system-on-site-security-,"530,000 TND
						","Djerba in
				Djerba
			","Amazing deal on this house for sale. Price 530,000 TND. 3 rooms, 2 bathrooms, area 540 m². 6 rooms. New. Secured residence with reinforced door. The property also has a satellite dish.,This house is for sale in Djerba. The exterior consists of a garden and a terrace. Living room with European decor.,Schedule your visit to this exceptional house now. Property with swimming pool.,Close to all amenities: bars and restaurants and beach in 100 meters, school and secondary school in 500 meters, retailers in 1.1 kilometer, supermarket in 1.6 kilometer, bookshop in 1.7 kilometer.
				,
				,
				Djerba, Djerba
			,School,Shop,Hospital,Transport,
						,
					,House to buy in Midoune. Area of 135 m². Swimming pool and air...
					,
						,
					,Home to buy in Djerba. Large area 160 m². Well decorated. 
					,
						,
					,House for sale in Djerba. 9 comfortable rooms. Green areas, Balcony. 
					"
https://www.mubawab.tn/en/a/7667886/very-nice-house-for-sale-in-djerba-3-lovely-rooms-beautiful-terrace-and-garden-,"670,000 TND
						","Djerba in
				Djerba
			","Find out about this house for sale. Price 670,000 TND. 3 rooms, 2 bathrooms, area 514 m². 5 rooms. Less than 1 year. Equipped with a satellite dish and a reinforced door. The residence is secured.,This beautiful house is for sale in Djerba. Residence with swimming pool, Integrated air conditioning. Green areas, Balcony.,Contact us to visit this house for sale. Living room with European decor.,Close to all amenities: schools in 150 meters, shops in 300 meters, bookshop in 700 meters, pharmacy in 850 meters, cafes and restaurants, station and public transport in 900 meters, hospitals in 1.0 kilometer, supermarket in 1.2 kilometer, beach in 1.2 kilometer.
				,
				,
				Djerba, Djerba
			,School,Shop,Hospital,Transport,
						,
					,Beautiful house for sale in Djerba. 6 comfortable rooms. Green area. 
					,
						,
					,Beautiful house for sale in Djerba. 5 lovely rooms. Beautiful terrace and...
					,
						,
					,House for sale in Djerba. 9 comfortable rooms. Green areas, Balcony. 
					,
						,
					,Home to buy in Djerba. 4 rooms. Green area, Balcony. 
					"
https://www.mubawab.tn/en/a/7722691/house-for-sale-in-djerba-area-of-105-m%C2%B2-property-with-swimming-pool-integrated-air-conditioning-,"303,400 TND
						","Djerba in
				Djerba
			","Seize the opportunity with this house for sale. Price 303,400 TND. 2 rooms, 3 bathrooms, area 105 m². 4 rooms. Less than 5 years. Enjoy the comfort of the air conditioning. The residence also has a swimming pool.,This beautiful house is for sale in Djerba. Robust door. Fully equipped kitchen.,Be the first to visit this house for sale. Green area. Living room with European decor.,Nearby: beach in 100 meters, schools in 500 meters, retailers in 1.1 kilometer, supermarket in 1.6 kilometer, bookshop in 1.7 kilometer.
				,
				,
				Djerba, Djerba
			,School,Shop,Hospital,Transport,
						,
					,Home to buy in Djerba. 4 large rooms. Beautiful terrace and garden. 
					,
						,
					,House to buy in Djerba. Area 120 m². Beautiful terrace and garden. 
					,
						,
					,House to buy in Djerba. 5 rooms. Green areas, Parking spaces for cars. ...
					,
						,
					,Find your house to buy in Djerba. 3 beautiful rooms. Terrace and garden. ...
					,
						,
					,House for sale in Djerba. 3 lovely rooms. Large terrace. 
					,
						,
					,House for sale in Djerba. 6 rooms. Well furnished. 
					,
						,
					,House for sale in Djerba. Surface area 300 m². Beautiful terrace and...
					,
						,
					,House for sale in Djerba. 5 beautiful rooms. Green areas, Balcony. 
					"
https://www.mubawab.tn/en/a/7688889/home-to-buy-in-mutuelle-ville-dimension-660-m%C2%B2-reinforced-door-and-central-heating-,"2,000,000 TND
						","Mutuelle Ville in
				El Menzah
			","Very nice property for sale. Price 2,000,000 TND. 6 rooms, 5 bathrooms, 660 m². 6 rooms. Less than 20 years. Due for reform. Covering: Wooden. Equipped with a satellite dish and a reinforced door. The residence is secured.,This house is for sale in Mutuelle Ville. Comfort and security with central heating and double glazing. Garden.,Contact us if you are interested in this house. Equipped kitchen. Air-conditioned. Contemporary living room.,Nearby: shops in less than 50 meters, bookshop in 100 meters, educational establishments, pharmacy and large area in 150 meters, cafes and restaurants in 200 meters, hospitals in 500 meters, supermarket in 550 meters, taxi service in 800 meters, station and transport in 1.6 kilometer.
				,
				,
				El Menzah, Tunis
			,School,Shop,Hospital,Transport,
						,
					,House for sale in El Menzah 1. 4 rooms. Property with swimming pool. 
					,
						,
					,Find your house to buy in Mutuelle Ville. Small area 761 m². Garden and...
					,
						,
					,Find your house to buy in Mutuelle Ville. Surface area 900 m². Terrace and...
					,
						,
					,House to buy in Mutuelle Ville. Small area 1050 m². 
					,
						,
					,Beautiful house for sale in El Menzah 1. 7 lovely rooms. Reinforced door...
					,
						,
					,Home to buy in Mutuelle Ville. Small area 675 m². Garden and terrace. 
					,
						,
					,House for sale in Mutuelle Ville. Large area 580 m². Beautiful terrace and...
					"
https://www.mubawab.tn/en/a/7590777/house-for-sale-in-montfleury-8-large-living-areas-double-glazing-and-reinforced-door-,"1,300,000 TND
						","Montfleury in
				Tunis
			","Unique opportunity on this house for sale. Price 1,300,000 TND. 8 living areas, 3 bathrooms, area 220 m². 9 bedrooms. Less than 20 years. Floor type: Marble. Beautiful sea view, Double glazing, Secured door, Centralised air conditioning.,Come and check out this house for sale in Montfleury. The exterior consists of a garden and a terrace. Equipped with a satellite dish. The residence is secured.,Contact us to visit this house for sale. Contemporary living room. Equipped kitchen.
				,
				,
				Tunis, Tunis
			,School,Shop,Hospital,Transport,
						,
					,Home to buy in Maakel Ezzaim. Total area 262 m². Balcony. 
					,
						,
					,House for sale in Abou El Kacem Chebbi. 3 beautiful rooms. 
					"
https://www.mubawab.tn/en/a/7720885/home-to-buy-in-el-menzah-9-small-area-350-m%C2%B2-beautiful-terrace-and-garden-,"890,000 TND
						","El Menzah 9 in
				El Menzah
			","Get a great deal with this house for sale. Price 890,000 TND. 5 living areas, 3 bathrooms, area 350 m². 4 bedrooms. Less than 10 years. Floor type: Marble. You will have a terrace and a garden.,This beautiful house is for sale in El Menzah 9. General satellite dish, Secured neighbourhood. Air conditioning.,Contact us if you are interested in this house. Well equipped kitchen. Cooker with oven. Air conditioned.,Nearby: retailers in less than 50 meters, bookshop in 100 meters, school and secondary school, pharmacy and shopping centre in 150 meters, cafes and restaurants in 200 meters, hospitals in 500 meters, supermarket in 550 meters, taxi service in 800 meters, station and public transport in 1.6 kilometer.
				,
				,
				El Menzah, Tunis
			,School,Shop,Hospital,Transport,
						,
					,House for sale in El Menzah 9. Dimension 212 m². Green areas, Balcony. ...
					,
						,
					,House for sale in El Menzah 9. Dimension 460 m². Green area, Balcony. 
					,
						,
					,House for sale in El Manar 1. 6 comfortable rooms. Cellar. 
					,
						,
					,Very nice house for sale in El Menzah 9. Surface area 230 m². Beautiful...
					"
https://www.mubawab.tn/en/a/7698885/beautiful-house-for-sale-6-rooms-large-balcony-,"1,290,000 TND
						","La Medina
			","Get a great deal with this house for sale. Price 1,290,000 TND. 6 living areas, 2 private bathrooms, 267 m². 4 bedrooms. More than 100 years. Large terrace.,This beautiful house is for sale .,Nearby: educational establishments, shops and bookshop in less than 50 meters, pharmacy in 100 meters, supermarket, bars and restaurants and hospitals in 150 meters, station and transport in 700 meters, large area in 1.3 kilometer, taxi in 3.0 kilometers.
				,
				,
				La Medina, Tunis
			,School,Shop,Hospital,Transport,
						,
					,House to buy. Area 295 m². 
					,
						,
					,Home to buy. 8 rooms. Terrace. 
					"
https://www.mubawab.tn/en/a/7701982/house-for-sale-in-chott-meriem-3-large-rooms-,"Chott Meriem in
				Akouda
			","Chott Meriem in
				Akouda
			","Find out about this house for sale. 3 living areas, 1 bathroom, area 250 m². 3 rooms. New.,This beautiful house is for sale in Chott Meriem, Akouda. Property with swimming pool.,Close to all amenities: shops and beach in 300 meters, bookshop in 1.6 kilometer, schools in 1.6 kilometer, pharmacy in 1.7 kilometer.
				,
				,
				Akouda, Sousse
			,School,Shop,Hospital,Transport"
https://www.mubawab.tn/en/a/7679706/house-for-sale-2-rooms-,"90,000 TND
						","Kélibia
			","Get a great deal with this house for sale. Price 90,000 TND. 2 bedrooms, 1 bathroom, 150 m². 6 rooms. New.,This house is for sale .,Nearby: educational establishments in 100 meters, retailers and pharmacy in 150 meters, bookshop and restaurants in 200 meters, supermarket in 250 meters, station and public transport in 350 meters, hospitals in 500 meters, beach in 2.7 kilometers.
				,
				,
				Kélibia, Nabeul
			,School,Shop,Hospital,Transport,
						,
					,Home to buy. 2 lovely rooms. Beautiful terrace. 
					,
						,
					,Very nice house for sale. 3 large rooms. Garage. 
					,
						,
					,House for sale. 3 large rooms. Beautiful terrace and garden. 
					"
https://www.mubawab.tn/en/a/7704076/house-for-sale-2-comfortable-rooms-large-balcony-,"200,000 TND
						","Dar Châabane
			","Find out about this house for sale. Price 200,000 TND. 2 rooms, 1 bathroom, 96 m². 2 rooms. Good condition. Air-conditioned.,This beautiful house is for sale . Balcony. Central air conditioning.,Close to all amenities: retailers in 900 meters, pharmacy in 1.1 kilometer, schools in 1.5 kilometer, bookshop and bars and restaurants in 1.7 kilometer, supermarket in 1.8 kilometer, commercial area in 2.1 kilometers.
				,
				,
				Dar Châabane, Nabeul
			,School,Shop,Hospital,Transport"
https://www.mubawab.tn/en/a/7081711/home-to-buy-small-area-60-m%C2%B2-general-satellite-dish-,"150,000 TND
						","Kélibia
			","Very nice property for sale. Price 150,000 TND. 1 bathroom, 60 m². 1 Rooms. 1 room. Less than 1 year. Covering: Tiled. Satellite dish.,This house is for sale .,Nearby: school and secondary school in 100 meters, retailers and pharmacy in 150 meters, bookshop and bars and restaurants in 200 meters, supermarket in 250 meters, station and public transport in 350 meters, hospitals in 500 meters, beach in 2.7 kilometers.
				,
				,
				Kélibia, Nabeul
			,School,Shop,Hospital,Transport,
						,
					,House to buy. Dimension 117 m². 
					,
						,
					,Beautiful house for sale. Small area 130 m². 
					,
						,
					,Home to buy. 2 rooms. 
					,
						,
					,Very nice house for sale. Dimension 85 m². 
					,
						,
					,Home to buy. 3 large living areas. 
					,
						,
					,Home to buy. Area 90 m². Storage unit. 
					,
						,
					,Very nice house for sale. Dimension 120 m². Terrace. 
					,
						,
					,Home to buy. 2 beautiful rooms. Dressing room. 
					"
https://www.mubawab.tn/en/sc/houses-for-sale,"El Menzah 9 in
	 					El Menzah
				",,
https://www.mubawab.tn/en/a/7715505/beautiful-house-for-sale-in-c2-4-lovely-rooms-balcony-,"250,000 TND
						","Monastir Ville in
				Monastir Ville
			","Amazing deal on this house for sale. Price 250,000 TND. 4 rooms, 1 bathroom, area 180 m². 5 rooms. Good condition. Covering: Tiled. Large balcony.,Come and check out this house for sale in Monastir Ville, Monastir Ville.,Close to all amenities: educational establishments and retailers in less than 50 meters, bars and restaurants in 250 meters, pharmacy in 300 meters, bookshop in 500 meters, department store in 700 meters, beach in 800 meters, supermarket, station and public transport in 950 meters, hospitals in 1.4 kilometer.
				,
				,
				Monastir Ville, Monastir
			,School,Shop,Hospital,Transport,
						,
					,House for sale in Monastir Ville. 4 lovely rooms. Balcony
					"
