price;rooms;size;bathrooms;living_areas;bedrooms;type_of_property;city;region
5000000.0;11;4992;4;null;null;house;La Soukra;La Soukra
980000.0;null;600;1;1;1;house;Tunis;Sidi Bechir
530000.0;6;540;2;null;null;apartment;Djerba;Djerba
null;3;172;1;null;3;apartment;La Marsa;Ain Zaghouan Nord
2400000.0;14;980;4;null;null;house;El Menzah;El Menzah 4
670000.0;5;514;2;null;null;apartment;Djerba;Djerba
1100000.0;4;150;3;4;null;house;Le Kram;Les Jardins de Carthage
1350000.0;7;400;2;null;5;house;null;Ariana Ville
1020000.0;5;442;1;null;5;null;Tunis;Bab Bhar
1200000.0;null;360;1;5;5;house;La Soukra;Chotrana 1
5500000.0;5;400;3;null;null;house;La Marsa;Gammarth
null;8;1311;null;null;null;house;La Marsa;Gammarth
2000000.0;5;122;2;null;null;house;Carthage;Sidi Bousaid
1100000.0;7;1000;2;null;null;house;Ariana Ville;Ariana
2500000.0;5;1180;null;null;null;house;La Marsa;Gammarth Supérieur
1220000.0;4;621;3;null;null;house;La Marsa;Gammarth
620000.0;3;280;2;5;null;house;La Marsa;Ain Zaghouan Nord
130000.0;2;140;1;3;null;house;null;Kelibia
1500000.0;4;320;1;4;null;house;La Soukra;La Soukra
170000.0;null;122;1;3;2;house;null;Kelibia
230000.0;3;101;1;null;2;house;null;Dar Châabane
1100000.0;4;179;3;null;null;house;Le Kram;Les Jardins de Carthage
null;5;1020;6;6;null;house;Hammamet;Hammamet Nord
1200000.0;null;350;1;4;3;apartment;Hammamet;Hammamet Nord
null;3;141;1;4;null;house;Hammamet;Hammamet
3200000.0;3;1400;null;null;null;house;La Marsa;La Marsa
null;3;280;3;null;null;null;Djerba;Djerba
890000.0;null;350;3;5;4;house;El Menzah;El Menzah 9
200000.0;4;300;2;null;null;house;Hammamet;Hammamet Nord
1500000.0;null;300;null;4;3;house;La Marsa;Gammarth Supérieur
203530.0;null;92;1;3;2;house;Djerba;Djerba
428900.0;null;135;null;5;3;apartment;Djerba;Djerba
303400.0;4;105;3;null;null;apartment;Djerba;Djerba
38000.0;null;340;1;1;1;house;null;Kelibia
